E_left,E_right,sel_left,sel_right,optset_left,optset_right,Qg_left,Qs_left,Ql_left,Qg_right,Qs_right,Ql_right,g_rel_left,g_rel_right,kind
920,921,草,小物,草小,小,967.446725305,967.446725305,814.389102294,967.540878709,967.577091179,814.617582746,3.466611e-14,3.742593e-05,tie
931,932,小物,草,小,草小,968.124281991,968.124529776,814.786599431,968.143544428,968.143544428,814.787678227,2.559431e-07,7.139602e-14,tie
940,941,草,小物,草小,小,968.577060060,968.577060060,814.860375590,968.662136020,968.692013241,815.060766777,3.040015e-14,3.084285e-05,tie
951,952,小物,草,小,草小,969.241716491,969.241921222,815.209988121,969.260370885,969.260370885,815.210954601,2.112272e-07,6.357246e-14,tie
960,961,草,小物,草小,小,969.685432074,969.685432074,815.275271959,969.769406344,969.794068341,815.451038009,2.649645e-14,2.543014e-05,tie
971,972,小物,草,小,草小,970.330339123,970.330508199,815.582811097,970.348375532,970.348375532,815.583676591,1.742459e-07,5.694017e-14,tie
980,981,草,小物,草小,小,970.777777043,970.777777043,815.640599231,970.859564069,970.879926851,815.794778548,2.318759e-14,2.097353e-05,tie
991,992,小物,草,小,草小,971.406929181,971.407068647,815.911140454,971.424184123,971.424184123,815.911915518,1.435716e-07,5.032337e-14,tie
1000,1001,草,小物,草小,小,971.840653151,971.840653151,815.962299477,971.928441955,971.945178232,816.097547248,2.047167e-14,1.721936e-05,tie
1011,1012,小物,草,小,草小,972.457037893,972.457152387,816.200333533,972.474137513,972.474137513,816.201027470,1.177364e-07,3.670809e-14,tie
1020,1021,草,小物,草小,小,972.891448580,972.891448580,816.245614212,972.981819368,972.995594951,816.364271000,1.507424e-14,1.415791e-05,tie
1031,1032,小物,草,小,草小,973.495304873,973.495399058,816.455062382,973.511737043,973.511737043,816.455683582,9.674942e-08,2.872791e-14,tie
1040,1041,草,小物,草小,小,973.915232085,973.915232085,816.495165850,974.004903149,974.016252340,816.599266780,1.155644e-14,1.165195e-05,tie
1051,1052,小物,草,小,草小,974.516167970,974.516245582,816.679484718,974.532167201,974.532167201,816.680040836,7.964183e-08,2.368155e-14,tie
1060,1061,草,小物,草小,小,974.926751811,974.926751811,816.714993253,975.016471535,975.025828743,816.806336342,9.212241e-15,9.596882e-06,tie
1071,1072,小物,草,小,草小,975.516006193,975.516070203,816.877221489,975.531422526,975.531422526,816.877719250,6.561698e-08,2.016114e-14,tie
1080,1081,草,小物,草小,小,975.920234750,975.920234750,816.908683295,975.998462491,976.006181707,816.988835941,7.921452e-15,7.908982e-06,tie
1091,1092,小物,草,小,草小,976.500809798,976.500862593,817.051480887,976.515758036,976.515758036,817.051926492,5.406571e-08,1.746313e-14,tie
1100,1101,草,小物,草小,小,976.892248826,976.892248826,817.079351115,976.969014328,976.975372995,817.149692436,6.866186e-15,6.508523e-06,tie
1111,1112,小物,草,小,草小,977.453463260,977.453506725,817.205071825,977.467761648,977.467761648,817.205470692,4.446711e-08,1.418952e-14,tie
1120,1121,草,小物,草小,小,977.849068269,977.849068269,817.229770190,977.919875855,977.925112135,817.291508342,5.348059e-15,5.354479e-06,tie
1131,1132,小物,草,小,草小,978.394574939,978.394610711,817.340469481,978.408083136,978.408083136,817.340826576,3.656160e-08,1.115479e-14,tie
1140,1141,草,小物,草小,小,978.772516829,978.772516829,817.362361697,978.849104232,978.853417000,817.416553089,4.413794e-15,4.405939e-06,tie
1151,1152,小物,草,小,草小,979.302472755,979.302502209,817.459856039,979.315921679,979.315921679,817.460175745,3.007720e-08,8.938777e-15,tie
1160,1161,草,小物,草小,小,979.683972146,979.683972146,817.479259687,979.762677551,979.766231115,817.526834387,3.481332e-15,3.626951e-06,tie
1171,1172,小物,草,小,草小,980.199115667,980.199139936,817.565136267,980.211844701,980.211844701,817.565422515,2.475880e-08,7.422842e-15,tie
1180,1181,草,小物,草小,小,980.561331700,980.561331700,817.582345289,980.641737280,980.644666655,817.624113382,2.898514e-15,2.987193e-06,tie
1191,1192,小物,草,小,草小,981.073443100,981.073463104,817.658002631,981.085751468,981.085751468,817.658258978,2.038957e-08,5.446294e-15,tie
1200,1201,草,小物,草小,小,981.426679837,981.426679837,817.673263821,981.508450239,981.510864360,817.709940146,2.316767e-15,2.459597e-06,tie
1211,1212,小物,草,小,草小,981.925824756,981.925841236,817.739931466,981.937654914,981.937654914,817.740161039,1.678366e-08,3.936454e-15,tie
1220,1221,草,小物,草小,小,982.268868460,982.268868460,817.753474709,982.338207769,982.340196667,817.785682502,1.967563e-15,2.024653e-06,tie
1231,1232,小物,草,小,草小,982.761906349,982.761919921,817.812228825,982.773338466,982.773338466,817.812434479,1.380996e-08,2.544951e-15,tie
1240,1241,草,小物,草小,小,983.088958889,983.088958889,817.824246447,983.156538569,983.158176958,817.852534813,1.503352e-15,1.666456e-06,tie
1251,1252,小物,草,小,草小,983.561691587,983.561702763,817.876040190,983.572539447,983.572539447,817.876224429,1.136286e-08,1.849370e-15,tie
1260,1261,草,小物,草小,小,983.892503002,983.892503002,817.886708465,983.949849086,983.951198860,817.911558027,1.271028e-15,1.371790e-06,tie
1271,1272,小物,草,小,草小,984.348276163,984.348285368,817.932374539,984.358494340,984.358494340,817.932539636,9.351491e-09,1.270427e-15,tie
